queue_name,queue_id,region,country,group_id,time_offset
AT,22fd892c-83bc-4223-a0db-eed66661e663,DACH,AT (Austria),1,120
AT No Recording,aaf32d1f-58f5-4b13-8bf2-64d51bb6b4cf,DACH,AT (Austria),1,120
AT Soft Call to Cancel,38775068-e001-471c-9b8b-8c2f1c12c20c,DACH,AT (Austria),1,120
AT Soft Call to Cancel No Recording,bf4f4b21-1315-47a6-8bd8-894e3cceb8e8,DACH,AT (Austria),1,120
AU,bdb2427f-ca2c-46ea-9bfa-f3bdf64d89f1,ANZ,AU,5,600
AU HF/EP Responses,e28d4a60-2e4b-4bf5-be8f-52d3dd0721aa,ANZ,AU,5,600
AU Long-Term Paused Campaign,6d3815c9-a127-47fb-829b-59df414de8b0,ANZ,AU,5,600
AU Outbound,b5bb0aa6-81d7-45c6-8465-1358c95dfc9a,ANZ,AU,5,600
AU Outbound - NPS Test,a85da1ed-b960-44cf-aae5-aa616f575d35,ANZ,AU,5,600
AU Payments,c8cefbbc-b02a-4c8c-86d4-50aef886376c,ANZ,AU,5,600
AU Quality,3229d898-c3c1-43d2-9fdf-412798b72958,ANZ,AU,5,600
AU Recycle,077b169a-7172-4d28-8150-56e9e904d642,ANZ,AU,5,600
AU Retention,a69bc4a1-0708-4926-bf00-beae383fa559,ANZ,AU,5,600
AU Soft Call to Cancel,5f3a9f64-738a-4a26-9759-2799b3b6c80c,ANZ,AU,5,600
AU Solvvy Call to Cancel,6f5edd77-4da9-4150-93dc-f613f989d1cd,ANZ,AU,5,600
BE-DU,47fb1e35-a256-48bb-bcfe-601fb6ebbbeb,Dutch,BE (Belgium),3,120
BEDU Soft Call to Cancel,e5fa7665-cb32-4477-a263-b50d81b31ac7,Dutch,BE (Belgium),3,120
BE,60a32624-5266-436f-94dc-41804aee2a07,French,BE (Belgium),4,120
BEFR Soft Call to Cancel,e9c0c1e3-0bff-4e59-abdd-beafbed835b6,French,BE (Belgium),4,120
CP Cancellation,98d5d302-b2b0-4f72-80f6-7c8ea4d74ad1,CA,CA-CP,9,-240
CP-EN,1946025f-5993-429d-ab8e-50e651260615,CA,CA-CP,9,-240
CP-FR,3cf66d82-158d-461f-8df0-22b094dcce87,CA,CA-CP,9,-240
CA -Food Safety,89678a57-6a4d-4120-9931-66816ecf0da2,CA,CA-HF,8,-240
CA Cancellation,9f776b70-7855-4e4a-8207-e17e16f42ee1,CA,CA-HF,8,-240
CA EN Soft Call to Cancel,ad14b98e-e8b3-4d34-b6d4-8642bb21cedc,CA,CA-HF,8,-240
CA FR Soft Call to Cancel,162fd13b-51e6-49d3-8135-167c8d8ed547,CA,CA-HF,8,-240
CA-EN,e1e03e44-02d5-4b2b-82ce-3bc81d3baed3,CA,CA-HF,8,-240
CA-FR,a8106542-354d-4f78-a303-eee51fc9d7f0,CA,CA-HF,8,-240
CH,e9fe532e-4a52-4273-b52a-fb0efc979862,DACH,CH (Switzerland),1,120
CH COVID19 Communications,f0b224a6-2589-4575-bcc0-c231d6b5aeab,DACH,CH (Switzerland),1,120
CH No Recording,2e917a9e-34cb-4d27-a76d-fd2ef511f086,DACH,CH (Switzerland),1,120
CH Soft Call to Cancel,f3907bbb-eecd-424b-97a7-784d961995a2,DACH,CH (Switzerland),1,120
CH Soft Call to Cancel No Recording,05d46ff7-9b13-442d-a0e2-de9924132a79,DACH,CH (Switzerland),1,120
DE,0d6d22f1-a314-4a29-bd66-6300e297d3fd,DACH,DE (Germany),1,120
DE COVID19 Communications,7e6c55e6-7fca-4031-829f-1f1f0e665bac,DACH,DE (Germany),1,120
DE COVID19 Communications_2,22f78a92-152c-469d-8e54-163a0d5da351,DACH,DE (Germany),1,120
DE COVID19 Communications_3,9d62418b-0b7c-4721-8a56-6a37f4e44e73,DACH,DE (Germany),1,120
DE COVID19 Communications_4,2f33ee6a-ab1f-4d4a-95d6-15da6071e2e9,DACH,DE (Germany),1,120
DE COVID19 Communications_5,2ff86772-c122-4eaf-a14b-882bb9949de8,DACH,DE (Germany),1,120
DE COVID19 Communications_6,3d6e7ce3-3f01-44db-be33-a468cef92407,DACH,DE (Germany),1,120
DE COVID19 Communications_7,f99a866f-d58f-4575-afb8-372de51904d6,DACH,DE (Germany),1,120
DE No Recording,8a731340-5abe-4aeb-9837-e8e20d15a022,DACH,DE (Germany),1,120
DE Soft Call to Cancel,e403429d-225c-4d43-bbbe-f0b3133e5e82,DACH,DE (Germany),1,120
DE Soft Call to Cancel (No Recording),dcf8d132-9342-4ec9-b2f0-d95ad73da40d,DACH,DE (Germany),1,120
DE-EN,59fe5e27-0079-449a-ae03-7dc6ce62b2f1,DACH,DE (Germany),1,120
DE-EN No Recording,8158b1dc-966d-46e5-9c88-28159933bb0f,DACH,DE (Germany),1,120
DK,73747b9e-30a5-4b8d-ac81-f9479905eaaa,DK (Denmark),DK,11,120
DK-EN,711ecfda-1ea3-4753-884f-40afc8e4dfdc,DK (Denmark),DK,11,120
AU EveryPlate,2220e9e0-926c-4710-9fcf-6153caa64d19,ANZ,EP/AU,7,600
AU EveryPlate Soft Call to Cancel,77b96c13-fbff-4c35-a6eb-bb94120c5c15,ANZ,EP/AU,7,600
US CCPA EveryPlate,c9a4e76b-095b-4f16-8491-020625bd9b1c,US,Every Plate,0,-240
